551502,B1-1505747,253.41,Rejected 
551502,B1-1505747,253.41,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
551502,B1-1505747,253.41,Rejected 
535924,B1-1505761,230,Rejected 
545447,B1-1505742,67.5,Rejected 
562199,B1-1505745,205.31,Rejected 
561063,B1-1505767,616.38,Rejected 
510093,B1-1505736,249.77,Rejected 
510093,B1-1505736,249.77,Rejected 
