536666*1-1P4PJ8R*1*228932272*$26 Winover*-29.9*02-09-2021 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*620203535*2360304090*2360304602*2364397069*2364398325*1245001841*Winover
531002*1-1MLVJUT*1*228923237*$38 Winover*-43.7*15-12-2019 00:00:00*1*15-01-2020 00:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*620203535*2093698856*2093698216*2091465049*2091463065*1245000305*Winover
511419*1-14G9NET*1*228933610*$80 Winover*-92*06-08-2021 00:00:00*1*06-09-2021 00:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*620203535*1262875978*1262876490*2575378636*2575376460*1245002609*Winover
537767*1-1PRQ5IX*1*228924281*$3 Business Link Plan excl. GST*3.45*01-10-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*2380339087*2380338255*2380231854*2380231214*1245001521*Plan Charges
537767*1-1PRQ5IX*1*228924286*$3 Business Link Plan excl. GST*3.45*05-10-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*2380339087*2380338255*2379824463*2379986316*1245001521*Plan Charges
537662*1-1PNPPVS*1*228923297*$3 Business Link Plan excl. GST*3.45*28-09-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*2377052150*2377051150*2377892843*2377893739*1245001521*Plan Charges
537898*1-1PSFIXY*1*228924271*$3 Business Link Plan excl. GST*3.45*23-11-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*2380253071*2380252239*2403310284*2379820286*1245001521*Plan Charges
519101*1-1JNUK2F*1*228926039*$3 Business Link Plan excl. GST*3.45*23-11-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*1587020319*1587001113*2397317998*2117036403*1245001521*Plan Charges
533954*1-1N8B9SK*1*228924605*$3 Business Link Plan excl. GST*3.45*12-03-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*200200244*2231441720*2231442232*2245558143*2245556351*1245001521*Plan Charges
526152*1-1LMN0CI*22*0228923228*Trade Up Monthly Fee*10*18-07-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1977331680*1977330704*1977687988*1977684276*84858739*Tradeup
526562*1-1LP2I6Y*26*228921058*Trade Up Monthly Fee*10*25-07-2020 00:00:00*1*01-01-1970 13:00:00*26-08-2021 00:00:00*26-09-2021 00:00:00*510200050*1984885445*1984885189*1984772705*1984771873*84858739*Tradeup
526603*1-1LP77VQ*26*228921067*Trade Up Monthly Fee*10*25-07-2020 00:00:00*1*01-01-1970 13:00:00*26-08-2021 00:00:00*26-09-2021 00:00:00*510200050*1984894215*1984894727*1984885500*1984887740*84858739*Tradeup
525782*1-1LKOULE*10*0250008418*Trade Up Monthly Fee*10*08-07-2020 00:00:00*1*01-01-1970 13:00:00*10-08-2021 00:00:00*10-09-2021 00:00:00*510200050*1971722650*1971723162*1971784062*1971782846*84858739*Tradeup
524684*1-1LFC2MK*17*0250008305*Trade Up Monthly Fee*10*15-06-2020 00:00:00*1*01-01-1970 13:00:00*17-08-2021 00:00:00*17-09-2021 00:00:00*510200050*1813480701*1813481213*1813566430*1813568094*84858739*Tradeup
526216*1-1LN3CFQ*22*250006349*Trade Up Monthly Fee*10*20-07-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1977376233*1977376745*1977189187*1977191043*84858739*Tradeup
524674*1-1LFAF21*17*0250008300*Trade Up Monthly Fee*10*14-06-2020 00:00:00*1*01-01-1970 13:00:00*17-08-2021 00:00:00*17-09-2021 00:00:00*510200050*1813548216*1813548728*1813541700*1813543556*84858739*Tradeup
525549*1-1LJEDQ7*4*0250008088*Trade Up Monthly Fee*10*02-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961701306*1961700474*1961699910*1961699078*84858739*Tradeup
525359*1-1LIEFNG*4*0250008033*Trade Up Monthly Fee*10*27-06-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961788910*1961789422*1961747249*1961749201*84858739*Tradeup
524678*1-1LFAOEP*17*0250007798*Trade Up Monthly Fee*10*14-06-2020 00:00:00*1*01-01-1970 13:00:00*17-08-2021 00:00:00*17-09-2021 00:00:00*510200050*1813462170*1813462682*1813512305*1813514545*84858739*Tradeup
524603*1-1LEZE5T*17*0250008421*Trade Up Monthly Fee*10*13-06-2020 00:00:00*1*01-01-1970 13:00:00*17-08-2021 00:00:00*17-09-2021 00:00:00*510200050*1808450254*1808449998*1808392138*1808388426*84858739*Tradeup
525257*1-1LI0BXG*4*0250007791*Trade Up Monthly Fee*10*26-06-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961727514*1961727258*1961689725*1961691965*84858739*Tradeup
524871*1-1LFZQ9C*22*0250008376*Trade Up Monthly Fee*10*19-06-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1926412840*1926412584*1926441396*1926439988*84858739*Tradeup
525565*1-1LJGSUS*4*0250008091*Trade Up Monthly Fee*10*02-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961682716*1961682076*1961705195*1961701483*84858739*Tradeup
524808*1-1LFNBAF*22*0250008326*Trade Up Monthly Fee*10*17-06-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1926457279*1926456447*1926457120*1926459072*84858739*Tradeup
524809*1-1LFNBHM*22*0228016318*Trade Up Monthly Fee*10*17-06-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1926441417*1926441929*1926427189*1926429525*84858739*Tradeup
524929*1-1LGALMV*22*0250008372*Trade Up Monthly Fee*10*19-06-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1926445098*1926445610*1926471903*1926474143*84858739*Tradeup
525550*1-1LJE1ZZ*1*250008055*Trade Up Monthly Fee*10*02-07-2020 00:00:00*1*01-01-1970 13:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*510200050*1961701576*1961702088*1961911770*1961913434*84858739*Tradeup
525435*1-1LINTIZ*4*0250008037*Trade Up Monthly Fee*10*28-06-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961728369*1961728881*1961931254*1961932918*84858739*Tradeup
526497*1-1LOMR2Z*26*228199030*Trade Up Monthly Fee*10*24-07-2020 00:00:00*1*01-01-1970 13:00:00*26-08-2021 00:00:00*26-09-2021 00:00:00*510200050*1984789847*1984790359*1984781955*1984778243*84858739*Tradeup
526812*1-1LQO7XG*4*250008405*Trade Up Monthly Fee*10*29-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1988866531*1988867043*1988905519*1988904783*84858739*Tradeup
526696*1-1LQ1NI3*4*228199079*Trade Up Monthly Fee*10*26-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1984839942*1984840454*1990637933*1990636717*84858739*Tradeup
526665*1-1LPRJ4V*4*228199056*Trade Up Monthly Fee*10*26-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1988931524*1988930596*1984828634*1984830874*84858739*Tradeup
526749*1-1LQCHR4*4*228920581*Trade Up Monthly Fee*10*27-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1990142676*1990142420*1984775290*1984777530*84858739*Tradeup
528288*1-1M0J3LO*22*228925878*Trade Up Monthly Fee*10*20-01-2020 00:00:00*1*20-01-2022 00:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*2012267801*2012268313*2160769692*2014944181*84858739*Tradeup
532173*1-1MZ0JGM*17*228925431*Trade Up Monthly Fee*10*13-01-2021 00:00:00*1*01-01-1970 13:00:00*17-08-2021 00:00:00*17-09-2021 00:00:00*510200050*2151315470*2151315982*2141909965*2141912397*84858739*Tradeup
525555*1-1LJF32I*4*0250008085*Trade Up Monthly Fee*10*02-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1966992411*1966992923*1961677293*1961678957*84858739*Tradeup
528441*1-1M1U0B6*4*250007821*Trade Up Monthly Fee*10*26-08-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*2015009705*2015008873*2014805476*2014802532*84858739*Tradeup
530324*1-1MFRH41*26*250008415*Trade Up Monthly Fee*10*23-10-2020 00:00:00*1*01-01-1970 13:00:00*26-08-2021 00:00:00*26-09-2021 00:00:00*510200050*2065018289*2065018801*2064879703*2064881943*84858739*Tradeup
527064*1-1LS3VZS*4*228920112*Trade Up Monthly Fee*10*30-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1991520952*1991520696*1988867407*1988869263*84858739*Tradeup
530164*1-1MESK1O*22*250008193*Trade Up Monthly Fee*10*18-10-2020 00:00:00*1*01-01-1970 13:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*2064908158*2064907518*2065127972*2065127236*84858739*Tradeup
520397*1-1KPDFY8*22*228925442*Trade Up Monthly Fee*10*11-03-2020 00:00:00*1*11-03-2022 00:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1672203296*1730816985*2231366105*1672176008*84858739*Tradeup
522039*1-1KW1O3E*26*284990185*Trade Up Monthly Fee*10*11-03-2020 00:00:00*1*11-03-2022 00:00:00*26-08-2021 00:00:00*26-09-2021 00:00:00*510200050*1744379401*1744379145*2245970956*1744430653*84858739*Tradeup
519037*1-1JMKYYJ*22*228925628*Trade Up Monthly Fee*10*02-03-2020 00:00:00*1*02-03-2022 00:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1582003283*1582177773*2231366198*1587025389*84858739*Tradeup
527065*1-1LS46Z1*4*228920665*Trade Up Monthly Fee*10*30-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1993043499*1993043243*1993033142*1993034806*84858739*Tradeup
527553*1-1LVMQ2B*10*228180037*Trade Up Monthly Fee*10*06-08-2020 00:00:00*1*01-01-1970 13:00:00*10-08-2021 00:00:00*10-09-2021 00:00:00*510200050*2003211168*2003210336*1998094454*1998096694*84858739*Tradeup
527594*1-1LVVBRF*10*228180064*Trade Up Monthly Fee*10*07-08-2020 00:00:00*1*01-01-1970 13:00:00*10-08-2021 00:00:00*10-09-2021 00:00:00*510200050*1998041863*1998041223*1993910911*1993910079*84858739*Tradeup
520236*1-1KFO9OB*4*228923191*Trade Up Monthly Fee*10*02-03-2020 00:00:00*1*02-03-2022 00:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1666594457*1708477270*2231368532*1666686825*84858739*Tradeup
520908*1-1KFS0XN*4*228924672*Trade Up Monthly Fee*10*19-03-2020 00:00:00*1*19-03-2022 00:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1708473055*1704900175*2248107931*1709005767*84858739*Tradeup
523078*1-1L4BNBY*4*228924410*Trade Up Monthly Fee*10*10-02-2020 00:00:00*1*10-02-2022 00:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1770834563*1770834307*2197407902*1770846093*84858739*Tradeup
520877*1-1KF5KQS*22*228925510*Trade Up Monthly Fee*10*20-01-2020 00:00:00*1*20-01-2022 00:00:00*22-08-2021 00:00:00*22-09-2021 00:00:00*510200050*1702232346*1702232858*2156251758*1708495709*84858739*Tradeup
534582*1-1NFP7V1*1*228948525*Trade Up Monthly Fee*10*02-05-2020 00:00:00*1*29-04-2022 00:00:00*01-09-2021 00:00:00*01-10-2021 00:00:00*510200050*2287964443*2287964955*2288169825*2288171681*84858739*Tradeup
525486*1-1LJ46FP*4*0250008042*Trade Up Monthly Fee*10*01-07-2020 00:00:00*1*01-01-1970 13:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*1961911881*1961911625*1961770710*1961766998*84858739*Tradeup
533422*1-1N34OXD*4*228926022*Trade Up Monthly Fee*10*31-01-2020 00:00:00*1*31-01-2022 00:00:00*04-09-2021 00:00:00*04-10-2021 00:00:00*510200050*2172360005*2172360517*2176107550*2168689732*84858739*Tradeup
