562622,B1-1648435,92
542151,B1-1648456,80.5
541662,B1-1648451,19.07
561341,B1-1648447,277.08
536664,B1-1648421,612.9
520910,B1-1648445,924.5
550186,B1-1648449,80.5
562199,B1-1648424,91.42
535920,B1-1648442,76.7
510093,B1-1648411,119.62
542152,B1-1648455,80.5
541661,B1-1648454,80.5
544025,B1-1648439,85
540711,B1-1648457,162.37
538508,B1-1648444,140.5
562922,B1-1648428,80.5
550976,B1-1648434,185.1
541306,B1-1648437,80.5
562935,B1-1648418,148.5
551502,B1-1648426,344.31
562005,B1-1648422,80.5
562928,B1-1648423,99.91
538594,B1-1648432,218.58
563535,B1-1648448,20.7
513670,B1-1648410,32.2
563922,B1-1648433,143.75
562008,B1-1648425,209.24
551113,B1-1648414,60
521456,B1-1648419,51.75
503759,B1-1648412,49.45
562805,B1-1648453,80.5
533953,B1-1648430,106.25
529167,B1-1648446,239.9
544783,B1-1648416,85
563250,B1-1648429,115.19
510408,B1-1648409,80.5
549373,B1-1648441,255.99
561063,B1-1648452,568.08
562991,B1-1648450,66.7
535924,B1-1648443,241.5
562199,B1-1648431,263.79
562929,B1-1648436,120.75
549051,B1-1648440,142
