540711,B1-1617627,162.37
562929,B1-1617606,120.75
563922,B1-1617603,143.75
562199,B1-1617601,263.79
542152,B1-1617625,80.5
544025,B1-1617609,85
533953,B1-1617600,106.25
563535,B1-1617618,20.7
562935,B1-1617588,148.5
541662,B1-1617621,1.15
562199,B1-1617594,76.06
513670,B1-1617580,32.2
536664,B1-1617591,612.9
561341,B1-1617617,326.42
535920,B1-1617612,76.7
562991,B1-1617620,66.7
542151,B1-1617626,80.5
549373,B1-1617611,255.99
562805,B1-1617623,80.5
562922,B1-1617598,80.5
562928,B1-1617593,99.91
521456,B1-1617589,51.75
535924,B1-1617613,241.5
563250,B1-1617599,115.19
510408,B1-1617579,80.5
562622,B1-1617605,92
561063,B1-1617622,564.41
538594,B1-1617602,207.12
562008,B1-1617595,209.24
544783,B1-1617586,85
520910,B1-1617615,924.5
529167,B1-1617616,235.9
562005,B1-1617592,80.5
538508,B1-1617614,155.5
551502,B1-1617596,321.72
510093,B1-1617581,119.62
549097,B1-1617608,16.68
541661,B1-1617624,80.5
503759,B1-1617582,49.45
550976,B1-1617604,279.75
551113,B1-1617584,75
549051,B1-1617610,142
550186,B1-1617619,80.5
541306,B1-1617607,80.5
